epochs,batch_size,lr,Train_MAPE,Train_R2,Test_MAPE,Test_R2
100,4,0.0005,8.9206505,96.45092288678819,41.467606,43.89933961373853
100,4,0.0001,26.684729,71.40131840878217,31.52727,67.0722806642356
100,4,0.005,16.126904,89.9622474246293,40.4111,55.93379315929769
100,4,0.001,8.0135565,96.83411117724819,40.63316,45.96672678111813
100,8,0.0005,9.747122,95.00461086040731,39.514164,50.12768867291525
100,8,0.0001,17.96469,83.93880169660831,29.221153,68.7571975804437
100,8,0.005,11.283277,94.53040316989744,36.40354,57.026781464449364
100,8,0.001,13.486949,91.56846432166769,36.320213,56.48597361808741
100,16,0.0005,25.317478,74.109194606505,29.969582,69.81368101014579
100,16,0.0001,26.223537,71.06833823073023,30.570007,66.67108181447003
100,16,0.005,8.345803,96.68620414406061,36.85437,51.752809098471154
100,16,0.001,19.69109,83.02584524982784,31.731924,67.22412845952903
100,32,0.0005,25.505405,71.98077773084395,29.779934,67.24054835648921
100,32,0.0001,28.097708,67.82193720474592,32.176697,64.9650781973821
100,32,0.005,7.9578886,97.16124242722287,38.286236,55.0560640532762
100,32,0.001,21.8611,78.30045699189297,28.463354,71.73812282309801
100,64,0.0005,16.468927,86.88976411010607,32.838654,63.18873093791277
100,64,0.0001,27.455154,68.4629732381194,33.26388,63.11952942167986
100,64,0.005,7.753703,98.10588955591524,40.262432,48.84287825920149
100,64,0.001,18.417154,84.91921422090093,34.021008,62.649683746008364
100,128,0.0005,21.271944,79.07038227768486,28.67237,71.36841240495923
100,128,0.0001,25.698391,72.14104327847564,30.799038,68.04810432807665
100,128,0.005,16.029753,86.91692651027206,31.61543,65.59644455984146
100,128,0.001,26.308643,70.14142296409095,30.72869,64.80129398551577
200,4,0.0005,5.6577287,98.61120206522057,38.2903,52.44310782108097
200,4,0.0001,21.531033,78.74118142862541,28.795338,70.93550636595346
200,4,0.005,12.956553,94.31031478740863,35.885567,54.4845165020203
200,4,0.001,4.3890195,99.09878379990562,39.449066,51.95603619317186
200,8,0.0005,10.917469,94.35412464916638,39.777565,49.921970415920484
200,8,0.0001,22.588978,76.84314829928549,28.178171,71.4757591094286
200,8,0.005,9.134784,95.8462177579274,40.808876,50.410816387361756
200,8,0.001,4.764098,98.96809834452762,38.11412,55.344912105283996
200,16,0.0005,3.289671,99.46279954498287,43.414764,39.75355999991665
200,16,0.0001,26.674982,70.00142629490988,31.304996,65.26783255688694
200,16,0.005,5.662294,98.3942581183388,36.82815,56.523202893515965
200,16,0.001,4.933904,99.12638522832461,46.21676,41.80513096132203
200,32,0.0005,20.274944,82.58816951483367,31.957256,68.04523956677195
200,32,0.0001,25.875477,71.7056249570734,30.522669,67.03370375235306
200,32,0.005,4.0626144,99.19758058284305,36.784,55.32394561742188
200,32,0.001,4.482645,98.81932001121194,42.65973,48.4138789327111
200,64,0.0005,15.583676,89.72463980635156,36.42215,59.406016322926
200,64,0.0001,27.629602,68.55447006212955,32.197346,64.40998134845096
200,64,0.005,4.5302653,98.81977052072546,39.50904,51.95541024869731
200,64,0.001,11.39919,93.0438351814976,36.970947,50.9463806656938
200,128,0.0005,18.586685,84.09466962880836,30.661264,69.34076006822404
200,128,0.0001,25.783337,71.05431841147934,31.243347,66.77720154738964
200,128,0.005,4.8752613,98.95211022871186,39.571495,46.68614733851014
200,128,0.001,16.120481,86.60714658725537,33.475677,61.40337795194909
300,4,0.0005,3.2439716,99.51666260485321,37.042564,51.33411931862085
300,4,0.0001,24.045958,74.75079621629956,29.112976,69.41606284804504
300,4,0.005,8.91762,96.16819054791743,35.353874,57.461578292023866
300,4,0.001,4.589099,98.91019597746732,37.647583,45.63590584463037
300,8,0.0005,4.918256,98.80125343640361,40.100765,50.934587118543625
300,8,0.0001,24.51976,73.93906994318846,29.469982,68.5756867558
300,8,0.005,5.9431543,98.1492886710605,31.753891,63.31375490663007
300,8,0.001,4.2739463,99.12844395234322,37.759735,55.01028800141524
300,16,0.0005,4.6861353,98.9821381439359,47.681572,32.217912620099426
300,16,0.0001,14.157593,89.49266720911312,33.378517,61.66219680874173
300,16,0.005,6.254101,98.16752960081301,35.041615,55.05352829703647
300,16,0.001,3.1537104,99.48881103648556,43.031155,46.89060127929058
300,32,0.0005,3.202396,99.48179796830689,43.0725,43.139578465795715
300,32,0.0001,24.28184,74.070373942842,29.498037,68.71233517803667
300,32,0.005,3.944044,99.05365747894537,37.6568,51.2904233388647
300,32,0.001,5.653132,98.29212348155534,43.42473,42.33993337573443
300,64,0.0005,13.312247,90.92270169636916,35.795296,54.56533352143549
300,64,0.0001,26.781555,69.79607095846568,31.142326,65.71600124109781
300,64,0.005,3.502394,99.44019941723053,37.888996,53.06178347217075
300,64,0.001,3.3704684,99.36732946498965,44.26953,42.8520043655376
300,128,0.0005,16.745842,85.7779679131494,31.40466,66.35892849984796
300,128,0.0001,27.849365,67.48834491612713,31.446665,65.81213086122534
300,128,0.005,3.0556428,99.62987031147323,44.960766,45.19295536632871
300,128,0.001,5.777761,98.24541038266823,42.033993,45.26417125436974
